hotel_name;address;detail_url;show_rooms_url;min_price;rating;rating_category;reviews_count
Angara-Prioritet Hotel;Kvartal B, 13, Angarsk;https://ostrovok.ru/hotel/russia/irkutsk_region_angarsk/mid6715745/hotel_angara/;https://ostrovok.ru/hotel/russia/irkutsk_region_angarsk/mid6715745/hotel_angara/;from ₽ 4,043 per night;7.4;Very good;46 reviews
Nikola Hotel;Irkutskiy rayon, Listvyanskoye munitsipalnoye obrazovaniye, posyolok Nikola, Angarskaya ulitsa, 15, Nicola;https://ostrovok.ru/hotel/russia/nicola/mid8748287/hotel_nikola_2/;https://ostrovok.ru/hotel/russia/nicola/mid8748287/hotel_nikola_2/;from ₽ 6,221 per night;8.4;Excellent;50 reviews
Irkutsk Hotel;bulvar Gagarina, 44, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid7819551/irkutsk/;https://ostrovok.ru/hotel/russia/irkutsk/mid7819551/irkutsk/;from ₽ 5,560 per night;7.5;Very good;335 reviews
Dohodnyij Dom Listratovoj Hotel;Podgornaya ulitsa, 16, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid9024017/dohodnyij_dom_listratvoj_butikhotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid9024017/dohodnyij_dom_listratvoj_butikhotel/;from ₽ 5,695 per night;8.9;Excellent;111 reviews
Dacha BaikalEco Family Hotel;ulitsa Lesnaya, 32, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10010618/hotel_dacha_baikaleco/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10010618/hotel_dacha_baikaleco/;from ₽ 11,508 per night;9.2;Fantastic;17 reviews
Barguzin;ulitsa Voroshilova 23A, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10012829/hotel_barguzin/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid10012829/hotel_barguzin/;from ₽ 7,076 per night;8.1;Excellent;18 reviews
Bajkal-Han Olhon Hotel;ulitsa Voroshilova 18, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid6848973/baykal_khan_hotel_olkhon/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid6848973/baykal_khan_hotel_olkhon/;from ₽ 12,804 per night;7.4;Very good;39 reviews
Baikal Business Center Hotel;Baikalskaya ulitsa, 279, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid7827545/baikal_business_center_hotel/;https://ostrovok.ru/hotel/russia/irkutsk/mid7827545/baikal_business_center_hotel/;from ₽ 7,387 per night;8.6;Excellent;205 reviews
Business Hall Hotel;ulitsa Sverdlova, 10, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8735100/inn_business_hall/;https://ostrovok.ru/hotel/russia/irkutsk/mid8735100/inn_business_hall/;from ₽ 3,966 per night;8.6;Excellent;76 reviews
North Star Hotel;ulitsa Sedova, 4, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid10670964/north_star_hotel_9/;https://ostrovok.ru/hotel/russia/irkutsk/mid10670964/north_star_hotel_9/;from ₽ 5,365 per night;8.7;Excellent;74 reviews
Burduguz Hotel;ulitsa Lesnaya, 1, Burduguz;https://ostrovok.ru/hotel/russia/burduguz/mid7829252/burduguz_hotel_2/;https://ostrovok.ru/hotel/russia/burduguz/mid7829252/burduguz_hotel_2/;from ₽ 22,627 per night;9.0;Fantastic;13 reviews
Hotel Aziya-Yevropa;ulitsa Yadrintseva, 1/7, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid13393268/hotel_aziyayevropa/;https://ostrovok.ru/hotel/russia/irkutsk/mid13393268/hotel_aziyayevropa/;from ₽ 3,460 per night;;;
Ochagof Hotel;ulitsa Dalinevostochnaya, 21, Irkutsk;https://ostrovok.ru/hotel/russia/irkutsk/mid8685974/hotel_ochagof/;https://ostrovok.ru/hotel/russia/irkutsk/mid8685974/hotel_ochagof/;from ₽ 5,589 per night;8.3;Excellent;63 reviews
Aura Baykala;ulitsa Narodnaya 27A, Khuzhir;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid13647397/aura_baykala_guest_house/;https://ostrovok.ru/hotel/russia/irkutsk_oblast_khuzhir/mid13647397/aura_baykala_guest_house/;from ₽ 10,000 per night;10;Fantastic;1 review
