hotel_id,master_id,rate_hash,rg_hash,multi_bed_data,room_name,room_type,allotment,bedding_type,main_bed_count,extra_bed_count,has_breakfast,meal_type,amenities,price_rub,payment_types,free_cancellation_before,cancellation_penalty_percent,no_show_penalty
victory_hotel_4,8457230,h-93b69212-7996-5be8-a0c9-8cb416b12973,3502402,"[{""bed"": ""single"", ""count"": 2}]",Двухместный номер Стандартный Улучшенный (2 отдельные кровати),Двухместный номер Стандартный Улучшенный,3,2 отдельные кровати,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",5200.00,"now/credit_card, now/sbp",2026-01-25,100.00,5200.00
victory_hotel_4,8457230,h-61440546-b24d-58a4-a0f9-992a9ee8c119,3502302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Стандартный Улучшенный (двуспальная кровать),Двухместный номер Стандартный Улучшенный,3,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",5200.00,"now/credit_card, now/sbp",2026-01-25,100.00,5200.00
victory_hotel_4,8457230,h-4d6a2767-10cb-5bc3-accd-8ac420e38c6a,3502302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Стандартный Улучшенный (двуспальная кровать),Двухместный номер Стандартный Улучшенный,3,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",5200.00,hotel/,2026-01-25,100.00,5200.00
victory_hotel_4,8457230,h-5ed9f726-f3e8-546d-813f-5b44fe13d048,3502402,"[{""bed"": ""single"", ""count"": 2}]",Двухместный номер Стандартный Улучшенный (2 отдельные кровати),Двухместный номер Стандартный Улучшенный,3,2 отдельные кровати,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",5200.00,hotel/,2026-01-25,100.00,5200.00
victory_hotel_4,8457230,h-cf18af62-b3cc-58f9-a261-ceb751adb56e,7002302,"[{""bed"": ""double"", ""count"": 1}]",Двухместная студия (двуспальная кровать),Двухместная студия,1,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",6200.00,"now/credit_card, now/sbp",2026-01-25,100.00,6200.00
victory_hotel_4,8457230,h-08ac24b8-e727-521a-87be-47599fbce37a,7002302,"[{""bed"": ""double"", ""count"": 1}]",Двухместная студия (двуспальная кровать),Двухместная студия,1,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast, has_internet",6200.00,hotel/,2026-01-25,100.00,6200.00
rooms_apartments,9992652,h-dbdfeea2-fbf4-5f1c-98c0-b8dc4a936c54,3202302000U,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Standard с красивым видом из окна (двуспальная кровать),Двухместный номер Standard с красивым видом из окна,1,двуспальная кровать,1,0,Нет,nomeal,has_bathroom,3087.00,"now/credit_card, now/sbp",,100.00,3100.00
rooms_apartments,9992652,h-47c4188b-6fa1-53d5-8c1d-ba4b1894d04b,3202302000U,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Standard с красивым видом из окна (двуспальная кровать),Двухместный номер Standard с красивым видом из окна,1,двуспальная кровать,1,0,Нет,nomeal,has_bathroom,3100.00,hotel/,,100.00,3100.00
yakovlev_hotel,8742012,h-488747df-7b39-51aa-9138-b0a3e21b55e4,3202402,"[{""bed"": ""single"", ""count"": 2}]",Двухместный номер Standard (2 отдельные кровати),Двухместный номер Standard,6,2 отдельные кровати,1,0,Нет,nomeal,has_bathroom,2400.00,"now/credit_card, now/sbp",,100.00,2400.00
yakovlev_hotel,8742012,h-fb94dd81-e5f4-52bb-9da2-e7734db16228,3202013,,Трёхместный семейный номер Standard,Трёхместный семейный номер Standard,1,,1,0,Нет,nomeal,has_bathroom,2400.00,"now/credit_card, now/sbp",,100.00,2400.00
yakovlev_hotel,8742012,h-24b14782-f5d8-5793-a970-4dac1dde93c6,3202302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Standard (двуспальная кровать),Двухместный номер Standard,3,двуспальная кровать,1,0,Нет,nomeal,has_bathroom,2400.00,"now/credit_card, now/sbp",,100.00,2400.00
yakovlev_hotel,8742012,h-21d9372d-c43b-5f71-ad06-a248630df228,3202013,,Трёхместный семейный номер Standard,Трёхместный семейный номер Standard,1,,1,0,Нет,nomeal,has_bathroom,2400.00,hotel/,,100.00,2400.00
yakovlev_hotel,8742012,h-17246a98-98b9-56ca-8c88-553e86d621c9,3202402,"[{""bed"": ""single"", ""count"": 2}]",Двухместный номер Standard (2 отдельные кровати),Двухместный номер Standard,6,2 отдельные кровати,1,0,Нет,nomeal,has_bathroom,2400.00,hotel/,,100.00,2400.00
yakovlev_hotel,8742012,h-d3148bc9-80b6-53a6-b984-eb1fa394f4c7,3202302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Standard (двуспальная кровать),Двухместный номер Standard,3,двуспальная кровать,1,0,Нет,nomeal,has_bathroom,2400.00,hotel/,,100.00,2400.00
yakovlev_hotel,8742012,h-f2ad4a89-d62c-5351-89ef-15766b73fd43,3202302,"[{""bed"": ""double"", ""count"": 1}]",Двухместный номер Standard (двуспальная кровать),Двухместный номер Standard,3,двуспальная кровать,1,0,Да,breakfast,"has_bathroom, has_breakfast",3000.00,"now/credit_card, now/sbp",,100.00,3000.00
