id,name,address,address_en,stars,rating,review_count,image_count,latitude,longitude,category,has_verified_owner,phone_available
98355057272,Riverside,"Иркутск, Байкальская улица, 234В/7","Irkutsk, Baykalskaya Street, 234В/7",,4.8,192,157,52.252285,104.324789,Гостиница,False,False
1049121766,Анастасия,"Иркутский муниципальный округ, посёлок Никола, Ангарская улица, 8","Irkutskiy munitsipalny okrug, posyolok Nikola, Angarskaya ulitsa, 8",4,5,541,389,51.891809,104.825166,Гостиница,False,False
45375779112,Шамбала,"Иркутская область, Ольхонский район, посёлок Хужир, Северная улица, 12А","Irkutsk Region, Olkhonskiy rayon, posyolok Khuzhir, Severnaya ulitsa, 12",,5,95,88,53.198996,107.352553,Гостиница,False,False
1269457576,Арена,"Иркутск, улица Свердлова, 39","Irkutsk, Sverdlov street, 39",,4.1,31,78,52.287295,104.287906,Гостиница,False,False
55397886378,Витим,"Иркутск, улица Терешковой, 2А","Irkutsk, ulitsa Tereshkovoy, 2А",,4.3,38,65,52.282064,104.258874,Иное жильё,False,False
1788444902,Веста,"Иркутск, улица Сурнова, 30/1","Irkutsk, ulitsa Surnova, 30/1",3,4.2,89,49,52.312687,104.290443,Гостиница,False,False
1213718975,Лотос,"Иркутск, Байкальская улица, 14Б","Irkutsk, Baykalskaya Street, 14Б",,3.9,159,278,52.279066,104.299321,Гостиница,False,False
95265545572,Wind Lake,"Иркутский муниципальный округ, посёлок Большое Голоустное, 2-я Рейдовая улица, 12","Irkutskiy munitsipalny okrug, posyolok Bolshoye Goloustnoye, 2-ya Reydovaya ulitsa, 12",,4.3,6,47,52.027745,105.404974,Иное жильё,False,False
97271912494,Armat,"Иркутск, улица Ширямова, 33","Irkutsk, Shiryamova Street, 33",4,5,338,149,52.256507,104.346517,Гостиница,False,False
1081172285,Иркутск Сити Лодж,"Иркутск, Байкальская улица, 124/2","Irkutsk, Baykalskaya Street, 124/2",,4.2,32,122,52.262686,104.309755,Гостиница,False,False
7016799275,Централь,"Иркутск, переулок Богданова, 8","Irkutsk, Bogdanov lane, 8",,5,901,111,52.286687,104.285141,Гостиница,False,False
125182917794,Парус,"Иркутский район, Листвянское муниципальное образование, рабочий посёлок Листвянка, улица Горького, 93А","Irkutskiy rayon, Listvyanskoye munitsipalnoye obrazovaniye, rabochiy posyolok Listvyanka, ulitsa Gorkogo, 93А",,4.3,94,98,51.846213,104.875215,Гостиница,False,False
105286356428,Аквамарин,"Иркутский муниципальный округ, рабочий посёлок Листвянка, улица Чапаева, 104А","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, ulitsa Chapayeva, 104А",,4.6,107,146,51.8625,104.878736,Иное жильё,False,False
110448152162,Аврора,"Иркутск, улица Карла Либкнехта, 7Б","Irkutsk, Karl Liebknecht street, 7Б",2,4.4,140,63,52.288023,104.294751,Гостиница,False,False
1022774345,У Истока,"Иркутск, улица Ржанова, 43","Irkutsk, Rzhanova Street, 43",2,4.3,212,221,52.25315,104.362873,Гостиница,False,False
6637207552,Ларус,"Иркутский район, Листвянское муниципальное образование, рабочий посёлок Листвянка, Октябрьская улица, 8Д","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, Oktyabrskaya ulitsa, 8Д",2,4.9,128,122,51.876167,104.831831,Гостиница,False,False
8468744447,Звезда Кочевника,"Иркутская область, Ольхонский район, посёлок Хужир, Пляжная улица, 20","Irkutsk Region, Olkhonskiy rayon, posyolok Khuzhir, Plyazhnaya ulitsa, 20",,4.3,119,139,53.198274,107.359814,Иное жильё,False,False
35171884376,Гостиный дворик,"Иркутск, улица Лермонтова, 81/21","Irkutsk, ulitsa Lermontova, 81/21",2,4.9,122,104,52.265564,104.262822,Гостиница,False,False
2595834594,Никола,"Иркутский муниципальный округ, посёлок Никола, Ангарская улица, 15","Irkutskiy munitsipalny okrug, posyolok Nikola, Angarskaya ulitsa, 15",4,5,346,331,51.892322,104.825219,Гостиница,False,False
32551825982,История Ольхона,"Иркутская область, Ольхонский район, посёлок Хужир, Народная улица, 19/1","Irkutsk Region, Olkhonskiy rayon, posyolok Khuzhir, Narodnaya ulitsa, 19/1",,5,156,228,53.197755,107.360274,Иное жильё,False,False
245195732592,Амурский,"Иркутск, улица Ленина, 34","Irkutsk, Lenina Street, 34",5,4.6,107,177,52.280694,104.281873,Гостиница,False,False
143226604036,North Star,"Иркутск, улица Седова, 4","Irkutsk, Sedova street, 4",4,4.4,68,104,52.275608,104.287449,Гостиница,False,False
187413969009,Маркс,"Иркутск, улица Карла Маркса, 15","Irkutsk, Karla Marksa Street, 15",3,4.3,191,117,52.28261,104.284448,Гостиница,False,False
49909559833,Baikal Holiday,"Иркутский муниципальный округ, посёлок Большое Голоустное, улица Кирова, 2Д","Irkutskiy munitsipalny okrug, posyolok Bolshoye Goloustnoye, ulitsa Kirova, 2Д",,4.3,21,65,52.04680881756645,105.4088274782966,Иное жильё,False,False
217199284899,У Лолы,"Иркутский муниципальный округ, рабочий посёлок Листвянка, улица Гудина, 14","Irkutskiy munitsipalny okrug, rabochiy posyolok Listvyanka, ulitsa Gudina, 14",,0,2,156,51.84593244868295,104.87733924044728,Иное жильё,False,False
181079399418,Байкал Арчи Апт,"Иркутск, улица Некрасова, 3","Irkutsk, Nekrasov street, 3",,4.8,69,51,52.289154,104.284082,Гостиница,False,False
235934397756,Irkroom,"Иркутск, Рабочая улица, 1","Irkutsk, Rabochaya street, 1",,4.7,14,13,52.289808,104.282816,Иное жильё,False,False
110098224725,Алтан,"Иркутская область, Ольхонский район, Шара-Тоготское муниципальное образование","Irkutsk Region, Olkhonskiy rayon, Shara-Togotskoye munitsipalnoye obrazovaniye",2,4.5,81,304,53.086106,106.799561,Гостиница,False,False
